RF,nodes Count,accuracy,
RF_15_t18_pruned_with_sigma_0_1,31,0.5572345710518396,
RF_15_t18_pruned_with_sigma_0_2,47,0.6538500162643532,
RF_15_t18_pruned_with_sigma_0_3,66,0.7025467608481761,
RF_15_t19,1,0.24171349360811673,
RF_15_t19_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_15_t19_pruned_with_sigma_0_1,22,0.6100708567238923,
RF_15_t19_pruned_with_sigma_0_2,43,0.6396506308153022,
RF_15_t19_pruned_with_sigma_0_3,55,0.685175165156263,
RF_15_t20,1,0.24171349360811673,
RF_15_t20_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_15_t20_pruned_with_sigma_0_1,15,0.4435106578359022,
RF_15_t20_pruned_with_sigma_0_2,38,0.6209744128917737,
RF_15_t20_pruned_with_sigma_0_3,48,0.684262824715862,
RF_15_t21,1,0.24171349360811673,
RF_15_t21_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_15_t21_pruned_with_sigma_0_1,10,0.45409830512819715,
RF_15_t21_pruned_with_sigma_0_2,35,0.5470694689236146,
RF_15_t21_pruned_with_sigma_0_3,42,0.6551591350768486,
RF_15_t22,1,0.24171349360811673,
RF_15_t22_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_15_t22_pruned_with_sigma_0_1,7,0.34588435277412816,
RF_15_t22_pruned_with_sigma_0_2,29,0.4705970300580814,
RF_15_t22_pruned_with_sigma_0_3,38,0.4780207661585294,
RF_15_t23,1,0.24171349360811673,
RF_15_t23_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_15_t23_pruned_with_sigma_0_1,6,0.3436308246309963,
RF_15_t23_pruned_with_sigma_0_2,25,0.5001360817337548,
RF_15_t23_pruned_with_sigma_0_3,35,0.47553795524410364,
RF_15_t24,1,0.24171349360811673,
RF_15_t24_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_15_t24_pruned_with_sigma_0_1,4,0.3301017671027789,
RF_15_t24_pruned_with_sigma_0_2,15,0.5087108795913378,
RF_15_t24_pruned_with_sigma_0_3,30,0.48074765418835996,
RF_15_t25,1,0.24171349360811673,
RF_15_t25_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_15_t25_pruned_with_sigma_0_1,2,0.3224400359023304,
RF_15_t25_pruned_with_sigma_0_2,8,0.40455147425169385,
RF_15_t25_pruned_with_sigma_0_3,15,0.47649732220837454,
RF_20_t2,1530,0.6411259513255524,
RF_20_t2_pruned_with_sigma_0_0,1320,0.6670330424742021,
RF_20_t2_pruned_with_sigma_0_1,1041,0.7690825331293432,
RF_20_t2_pruned_with_sigma_0_2,1149,0.6126798998660646,
RF_20_t2_pruned_with_sigma_0_3,1526,0.6868170022738468,
RF_20_t3,1214,0.6010048310798657,
RF_20_t3_pruned_with_sigma_0_0,1121,0.6120292315245481,
RF_20_t3_pruned_with_sigma_0_1,746,0.6880811907530245,
RF_20_t3_pruned_with_sigma_0_2,523,0.7699428345212268,
RF_20_t3_pruned_with_sigma_0_3,515,0.7203913724748927,
RF_20_t4,992,0.5761590680379487,
RF_20_t4_pruned_with_sigma_0_0,959,0.6343314127923657,
RF_20_t4_pruned_with_sigma_0_1,691,0.6720515159226665,
RF_20_t4_pruned_with_sigma_0_2,448,0.6425500254604859,
RF_20_t4_pruned_with_sigma_0_3,373,0.7577844032804101,
RF_20_t5,756,0.5392135030685472,
RF_20_t5_pruned_with_sigma_0_0,771,0.6391154920405406,
RF_20_t5_pruned_with_sigma_0_1,639,0.679501498534151,
RF_20_t5_pruned_with_sigma_0_2,429,0.6711023866268968,
RF_20_t5_pruned_with_sigma_0_3,341,0.7396944071244095,
RF_20_t6,544,0.5421538970788353,
RF_20_t6_pruned_with_sigma_0_0,611,0.5671579671942147,
RF_20_t6_pruned_with_sigma_0_1,568,0.6475415021522609,
RF_20_t6_pruned_with_sigma_0_2,404,0.6634482672467741,
RF_20_t6_pruned_with_sigma_0_3,317,0.7146623618527406,
RF_20_t7,400,0.5725802245800259,
RF_20_t7_pruned_with_sigma_0_0,477,0.6309513894287402,
RF_20_t7_pruned_with_sigma_0_1,501,0.6558824765091098,
RF_20_t7_pruned_with_sigma_0_2,379,0.6744901668534982,
RF_20_t7_pruned_with_sigma_0_3,301,0.7225493154396725,
RF_20_t8,266,0.6314083166676092,
RF_20_t8_pruned_with_sigma_0_0,370,0.6262054724431593,
RF_20_t8_pruned_with_sigma_0_1,428,0.6540896036565378,
RF_20_t8_pruned_with_sigma_0_2,356,0.6961547424455412,
RF_20_t8_pruned_with_sigma_0_3,283,0.7430743107087614,
RF_20_t9,170,0.6115861904890001,
RF_20_t9_pruned_with_sigma_0_0,267,0.7067118415068767,
RF_20_t9_pruned_with_sigma_0_1,363,0.7162610322133806,
RF_20_t9_pruned_with_sigma_0_2,325,0.7196267335780522,
RF_20_t9_pruned_with_sigma_0_3,267,0.7588479759801195,
RF_20_t10,104,0.6708804192611373,
RF_20_t10_pruned_with_sigma_0_0,179,0.659179653592223,
RF_20_t10_pruned_with_sigma_0_1,277,0.7406064959027752,
RF_20_t10_pruned_with_sigma_0_2,293,0.7126327824960436,
RF_20_t10_pruned_with_sigma_0_3,252,0.7613313073346066,
RF_20_t11,53,0.6907088682016111,
RF_20_t11_pruned_with_sigma_0_0,124,0.7234291164242904,
RF_20_t11_pruned_with_sigma_0_1,208,0.7548300162099594,
RF_20_t11_pruned_with_sigma_0_2,254,0.7050353035889625,
RF_20_t11_pruned_with_sigma_0_3,229,0.7606602153710667,
RF_20_t12,26,0.6880280713195042,
RF_20_t12_pruned_with_sigma_0_0,71,0.7105170386795763,
RF_20_t12_pruned_with_sigma_0_1,156,0.7472437899788283,
RF_20_t12_pruned_with_sigma_0_2,223,0.725535197005768,
RF_20_t12_pruned_with_sigma_0_3,200,0.762481587793456,
RF_20_t13,15,0.6503508161404971,
RF_20_t13_pruned_with_sigma_0_0,41,0.7265716244689069,
RF_20_t13_pruned_with_sigma_0_1,110,0.7463236027480246,
RF_20_t13_pruned_with_sigma_0_2,187,0.7449541732991288,
RF_20_t13_pruned_with_sigma_0_3,173,0.7692925232231506,
RF_20_t14,9,0.6163139266914432,
