RF,comparisons Count,accuracy,
RF_15_t20_pruned_with_sigma_0_3,47.0,0.684262824715862,
RF_15_t21,0.0,0.24171349360811673,
RF_15_t21_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_15_t21_pruned_with_sigma_0_1,9.0,0.45409830512819715,
RF_15_t21_pruned_with_sigma_0_2,34.0,0.5470694689236146,
RF_15_t21_pruned_with_sigma_0_3,41.0,0.6551591350768486,
RF_15_t22,0.0,0.24171349360811673,
RF_15_t22_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_15_t22_pruned_with_sigma_0_1,6.0,0.34588435277412816,
RF_15_t22_pruned_with_sigma_0_2,28.0,0.4705970300580814,
RF_15_t22_pruned_with_sigma_0_3,37.0,0.4780207661585294,
RF_15_t23,0.0,0.24171349360811673,
RF_15_t23_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_15_t23_pruned_with_sigma_0_1,5.0,0.3436308246309963,
RF_15_t23_pruned_with_sigma_0_2,24.0,0.5001360817337548,
RF_15_t23_pruned_with_sigma_0_3,34.0,0.47553795524410364,
RF_15_t24,0.0,0.24171349360811673,
RF_15_t24_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_15_t24_pruned_with_sigma_0_1,3.0,0.3301017671027789,
RF_15_t24_pruned_with_sigma_0_2,14.0,0.5087108795913378,
RF_15_t24_pruned_with_sigma_0_3,29.0,0.48074765418835996,
RF_15_t25,0.0,0.24171349360811673,
RF_15_t25_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_15_t25_pruned_with_sigma_0_1,1.0,0.3224400359023304,
RF_15_t25_pruned_with_sigma_0_2,7.0,0.40455147425169385,
RF_15_t25_pruned_with_sigma_0_3,14.0,0.47649732220837454,
RF_20_t2,212.9,0.6411259513255524,
RF_20_t2_pruned_with_sigma_0_0,213.5,0.6670330424742021,
RF_20_t2_pruned_with_sigma_0_1,264.8,0.7690825331293432,
RF_20_t2_pruned_with_sigma_0_2,287.8,0.6126798998660646,
RF_20_t2_pruned_with_sigma_0_3,298.1,0.6868170022738468,
RF_20_t3,200.0,0.6010048310798657,
RF_20_t3_pruned_with_sigma_0_0,200.0,0.6120292315245481,
RF_20_t3_pruned_with_sigma_0_1,201.4,0.6880811907530245,
RF_20_t3_pruned_with_sigma_0_2,212.0,0.7699428345212268,
RF_20_t3_pruned_with_sigma_0_3,230.8,0.7203913724748927,
RF_20_t4,200.0,0.5761590680379487,
RF_20_t4_pruned_with_sigma_0_0,200.0,0.6343314127923657,
RF_20_t4_pruned_with_sigma_0_1,200.0,0.6720515159226665,
RF_20_t4_pruned_with_sigma_0_2,201.0,0.6425500254604859,
RF_20_t4_pruned_with_sigma_0_3,205.6,0.7577844032804101,
RF_20_t5,200.0,0.5392135030685472,
RF_20_t5_pruned_with_sigma_0_0,200.0,0.6391154920405406,
RF_20_t5_pruned_with_sigma_0_1,200.0,0.679501498534151,
RF_20_t5_pruned_with_sigma_0_2,200.1,0.6711023866268968,
RF_20_t5_pruned_with_sigma_0_3,200.4,0.7396944071244095,
RF_20_t6,199.0,0.5421538970788353,
